SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude,GPSDateTime
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/264DCCDDEC714888B660BADC3C7055DF.jpg,264DCCDDEC714888B660BADC3C7055DF.jpg,"32 deg 43' 34.31"" N","117 deg 9' 34.64"" W",150.2 m Above Sea Level,2014:05:23 16:30:52Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/26529C3B74674948ACAF6EA7F7797D07.jpg,26529C3B74674948ACAF6EA7F7797D07.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2664ECE09BFD41DCAFFF3B2B86BF0F7D.jpg,2664ECE09BFD41DCAFFF3B2B86BF0F7D.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/26F7267F74C849A898D1DF39972B0EC9.jpg,26F7267F74C849A898D1DF39972B0EC9.jpg,"32 deg 48' 4.87"" N","96 deg 49' 2.50"" W",125.4 m Above Sea Level,2014:03:27 00:47:57Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/271AF54693F343BEBE868690B6F33053.jpg,271AF54693F343BEBE868690B6F33053.jpg,"40 deg 29' 43.80"" N","111 deg 50' 24.00"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/278F867A380F412AA91EF300CA0D1CAB.jpg,278F867A380F412AA91EF300CA0D1CAB.jpg,"33 deg 1' 10.63"" N","97 deg 3' 18.50"" W",184.1 m Above Sea Level,2013:10:18 01:49:07Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/28283BBF945C435487A4761F7864DD91.jpg,28283BBF945C435487A4761F7864DD91.jpg,"33 deg 1' 10.18"" N","97 deg 3' 18.61"" W",0 m,2013:12:23 02:13:13Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2874FA980896406FAF7C1C0F52C373AE.jpg,2874FA980896406FAF7C1C0F52C373AE.jpg,"32 deg 51' 7.45"" N","96 deg 45' 37.93"" W",185.4 m Above Sea Level,2013:12:22 18:49:57Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/290E9C9225F74C87894F5BA8818EEFAF.jpg,290E9C9225F74C87894F5BA8818EEFAF.jpg,"32 deg 47' 11.58"" N","96 deg 47' 45.12"" W",143.8 m Above Sea Level,2013:10:11 13:09:03Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/29A99CB4E7B34767AF61017F35D447B0.jpg,29A99CB4E7B34767AF61017F35D447B0.jpg,"32 deg 51' 25.25"" N","96 deg 45' 34.83"" W",166.5 m Above Sea Level,2013:11:03 23:21:44Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2C0E7EB39B334EF7AECD8E0ED380E122.jpg,2C0E7EB39B334EF7AECD8E0ED380E122.jpg,"40 deg 8' 23.49"" N","111 deg 35' 31.51"" W",1440.2 m Above Sea Level,2014:06:15 16:48:42Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2C71FE99FAE24AD3A354089BB8106932.jpg,2C71FE99FAE24AD3A354089BB8106932.jpg,"34 deg 15' 18.39"" N","118 deg 18' 38.46"" W",439.7 m Above Sea Level,2014:05:25 20:18:22Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2DA8A368F76F477280E6B0927783713E.jpg,2DA8A368F76F477280E6B0927783713E.jpg,"32 deg 50' 48.03"" N","96 deg 46' 18.72"" W",154.4 m Above Sea Level,2013:11:18 12:42:55Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2DD7CA5E4D8B4281A444CD243FC16DA8.jpg,2DD7CA5E4D8B4281A444CD243FC16DA8.jpg,"30 deg 14' 58.69"" N","97 deg 45' 0.05"" W",159.2 m Above Sea Level,2014:01:25 18:35:54Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2EF288E33E3848E891FA5D6D04F7CE74.jpg,2EF288E33E3848E891FA5D6D04F7CE74.jpg,"40 deg 8' 23.43"" N","111 deg 35' 31.51"" W",1429.2 m Above Sea Level,2014:02:27 01:31:09Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2F08B2252C3647C58001A497231C8964.jpg,2F08B2252C3647C58001A497231C8964.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2F096897A65C4DDFA906D59715E51280.jpg,2F096897A65C4DDFA906D59715E51280.jpg,"32 deg 51' 7.40"" N","96 deg 45' 37.88"" W",178.8 m Above Sea Level,2014:05:11 21:58:58Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/2F79BF698EF14470B81A895796FAE916.jpg,2F79BF698EF14470B81A895796FAE916.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/304DFF49C5F344EB8BD2FBE68BA10942.jpg,304DFF49C5F344EB8BD2FBE68BA10942.jpg,"40 deg 7' 30.37"" N","111 deg 34' 0.33"" W",1461.6 m Above Sea Level,2013:08:06 17:01:32Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/308E477703F845C0A76F18F72C1631E7.jpg,308E477703F845C0A76F18F72C1631E7.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/30F6B1701D554D95B63602E8032F6D13.jpg,30F6B1701D554D95B63602E8032F6D13.jpg,"32 deg 47' 12.37"" N","96 deg 47' 39.55"" W",145.5 m Above Sea Level,2013:10:09 23:09:06Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/31AF939C4C3F42FCA695E7A4EA305E13.jpg,31AF939C4C3F42FCA695E7A4EA305E13.jpg,"33 deg 1' 10.80"" N","97 deg 3' 18.00"" W",181.7 m Above Sea Level,2013:06:29 18:24:32Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/31CD490E08364080A73F8B6AC251C4CF.jpg,31CD490E08364080A73F8B6AC251C4CF.jpg,"32 deg 51' 10.62"" N","96 deg 45' 38.59"" W",180.3 m Above Sea Level,2014:07:15 23:37:09Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3250D93BD7B74837B7AC6C39FA9F7247.jpg,3250D93BD7B74837B7AC6C39FA9F7247.jpg,"40 deg 14' 31.20"" N","111 deg 39' 1.20"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/325417A9C06447198555B303BFEA8383.jpg,325417A9C06447198555B303BFEA8383.jpg,"33 deg 5' 5.52"" N","117 deg 18' 45.36"" W",0 m Above Sea Level,2013:12:24 21:52:44Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/334598C74E814108B44544A09F05436B.jpg,334598C74E814108B44544A09F05436B.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3423911234F047A892611AADF240A8B4.jpg,3423911234F047A892611AADF240A8B4.jpg,"32 deg 51' 7.27"" N","96 deg 45' 37.49"" W",179.6 m Above Sea Level,2013:09:29 00:00:52Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/347E4246F1CD44F49506DD35BA20C355.jpg,347E4246F1CD44F49506DD35BA20C355.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/353952A463D144E4838049938C166B18.jpg,353952A463D144E4838049938C166B18.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/35F451C1793C4F84AD13643C3F1868F2.jpg,35F451C1793C4F84AD13643C3F1868F2.jpg,"32 deg 51' 8.37"" N","96 deg 45' 38.73"" W",181.5 m Above Sea Level,2014:05:10 18:49:17Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/36CFBC0D2C854A6F91635ACB3C30DD85.jpg,36CFBC0D2C854A6F91635ACB3C30DD85.jpg,"32 deg 51' 7.79"" N","96 deg 45' 37.90"" W",180.6 m Above Sea Level,2013:07:23 16:11:31Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/385B591AF96449359720F058BA1305D4.jpg,385B591AF96449359720F058BA1305D4.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/38C15E34310A48FA84511D7DE5B6620E.jpg,38C15E34310A48FA84511D7DE5B6620E.jpg,"32 deg 51' 10.50"" N","96 deg 45' 38.62"" W",179.9 m Above Sea Level,2014:07:15 23:37:54Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/38CECA6DD0D0485E9BFBE5E4DDA47707.jpg,38CECA6DD0D0485E9BFBE5E4DDA47707.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/39299DC3CE5D43F792DF2EFCA266BF52.jpg,39299DC3CE5D43F792DF2EFCA266BF52.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/395D394F44DB4EE1A0A8F313B362E186.jpg,395D394F44DB4EE1A0A8F313B362E186.jpg,"40 deg 7' 30.29"" N","111 deg 34' 0.11"" W",1456.5 m Above Sea Level,2013:08:07 22:25:00Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3ABD06D31EA14180A45DE211FEF4C0B2.jpg,3ABD06D31EA14180A45DE211FEF4C0B2.jpg,"38 deg 38' 9.60"" N","109 deg 36' 0.60"" W",,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3AD588260374458095E7EC074544A38C.jpg,3AD588260374458095E7EC074544A38C.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3AEBD834987A4DFBAFD2A6D4A51F885B.jpg,3AEBD834987A4DFBAFD2A6D4A51F885B.jpg,"32 deg 51' 7.34"" N","96 deg 45' 37.66"" W",181.3 m Above Sea Level,2014:05:11 22:06:35Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3B222730A544411898AC581D54415804.jpg,3B222730A544411898AC581D54415804.jpg,"32 deg 51' 8.89"" N","96 deg 45' 38.26"" W",182.4 m Above Sea Level,2014:06:07 00:37:48Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3BD39CE8D97746B08A6A3821070C515E.jpg,3BD39CE8D97746B08A6A3821070C515E.jpg,"34 deg 15' 17.47"" N","118 deg 18' 38.30"" W",443.3 m Above Sea Level,2014:05:25 00:16:15Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3C13482E69C5403998C78BB992B39490.jpg,3C13482E69C5403998C78BB992B39490.jpg,"32 deg 47' 21.65"" N","96 deg 47' 4.26"" W",147.1 m Above Sea Level,2013:07:25 18:33:28Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3C1F4611813E47CA8370DE62981302E1.jpg,3C1F4611813E47CA8370DE62981302E1.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3D5EB2CEF11E4FED9741223F786EA747.jpg,3D5EB2CEF11E4FED9741223F786EA747.jpg,"38 deg 6' 46.78"" N","77 deg 49' 58.58"" W",96.8 m Above Sea Level,2014:07:22 15:30:16Z
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3D679A3FF95B4C759C08145D6D330EB7.jpg,3D679A3FF95B4C759C08145D6D330EB7.jpg,,,,
/Users/Taylor/Dropbox/Apps/Day One/Journal.dayone/photos/3E3A6F4DCF894E5D8E9652B4FBB05CF0.jpg,3E3A6F4DCF894E5D8E9652B4FBB05CF0.jpg,"40 deg 15' 18.00"" N","111 deg 39' 8.40"" W",,
